Fungal_Genus,Bacterial_Genus,Group,Spearman_Rho,P_value,Mean_Fungal_Abundance,Mean_Bacterial_Abundance
g__Candida,g__Shigella,BMD_Day1,0.718575757,0.04462261,0.292377796,0.024299832
g__Trichoderma,g__Enterococcus,Essential oils_Day10,-0.718575757,0.04462261,0.024831432,0.271247388
g__Zymoseptoria,g__Bifidobacterium,Probiotic_Day10,-0.718575757,0.04462261,0.037737105,0.011321741
g__Ustilago,g__Flavonifractor,Probiotic_Day10,0.718575757,0.04462261,0.013733262,0.013307708
g__Fusarium,g__Ligilactobacillus,Basal Diet_Day21,0.718575757,0.04462261,0.133448325,0.041059225
g__Aspergillus,g__Limosilactobacillus,BMD_Day10,0.738095238,0.045833333,0.126074891,0.047405845
g__Aspergillus,g__Lachnoclostridium,Essential oils_Day10,0.738095238,0.045833333,0.142456828,0.0231741
g__Trichoderma,g__Streptococcus,Probiotic_Day10,0.738095238,0.045833333,0.03127053,0.012357095
g__Tetrapisispora,g__Faecalibacterium,Probiotic_Day10,0.738095238,0.045833333,0.036292656,0.020359617
g__Talaromyces,g__Shigella,BMD_Day21,0.738095238,0.045833333,0.160276813,0.000955813
g__Pyricularia,g__Faecalibacterium,Probiotic_Day21,0.738095238,0.045833333,0.087731831,0.109035206
g__Ascochyta,g__Faecalibacterium,Essential oils_Day21,-0.710284805,0.048348934,0.015033038,0.128729913
g__Pyricularia,g__Faecalibacterium,Probiotic_Day1,0.757240185,0.048690706,0.005321068,0.000443428
g__Trichoderma,g__Faecalibacterium,Probiotic_Day1,0.757240185,0.048690706,0.005321068,0.000443428
g__Talaromyces,g__Escherichia,Basal Diet_Day21,-0.707527553,0.049628261,0.0897301,0.09477239
g__Talaromyces,g__Enterococcus,Basal Diet_Day21,-0.707527553,0.049628261,0.0897301,0.042207803
g__Zymoseptoria,g__Ligilactobacillus,Basal Diet_Day21,0.707527553,0.049628261,0.039425984,0.041059225
g__Malassezia,g__Lactobacillus,BMD_Day1,0.706599495,0.050063395,0.073421688,0.016386405
g__Fusarium,g__Blautia,Basal Diet_Day21,0.706599495,0.050063395,0.133448325,0.030077644
g__Colletotrichum,g__Ligilactobacillus,Basal Diet_Day21,0.706599495,0.050063395,0.045328512,0.041059225
g__Candida,g__Enterococcus,Basal Diet_Day10,0.661495093,0.052328627,0.112888233,0.320828489
g__Tetrapisispora,g__Enterococcus,Basal Diet_Day10,0.661111916,0.052514014,0.03687436,0.320828489
g__Tetrapisispora,g__Clostridium,BMD_Day21,0.699715778,0.05336247,0.021370822,0.020958115
